dayofweek,bookinghour,item_status,Location,TotalBookings
Monday,2,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,38
Monday,2,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,76
Monday,2,CANCELLED_BY_PASSENGER,2.754801758290859101.70367994742064,17
Monday,1,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,86
Monday,0,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,119
Monday,8,NO_DRIVER_AVAILABLE,3.197239101.596712,1
Monday,23,NO_DRIVER_AVAILABLE,3.1333608451985779101.55375788193216,3
Monday,19,NO_DRIVER_AVAILABLE,2.7445151360287339101.68470903911668,9
Monday,0,NO_DRIVER_AVAILABLE,2.7445151360287339101.68470903911668,29
Monday,8,NO_TAKER,3.0607227101.606364,1
Monday,11,NO_TAKER,3.0968078101.6111695,1
Monday,7,NO_TAKER,2.9333289101.6304606,1
Monday,8,NO_TAKER,2.9237794101.6361687,1
Monday,0,NO_TAKER,2.9255701101.6367957,4
Monday,19,NO_TAKER,2.8233557101.6947463,1
Monday,6,NO_TAKER,3.1300407101.7502343,1
Monday,0,NO_TAKER,3.047224101.504152,1
Monday,14,NO_TAKER,3.1333608451985779101.55375788193216,7
Monday,18,NO_TAKER,2.7425101101.6810173,1
Monday,17,NO_TAKER,3.1333608451985779101.55375788193216,9
Monday,16,NO_TAKER,3.1333608451985779101.55375788193216,5
Monday,6,NO_TAKER,2.754801758290859101.70367994742064,2
Monday,19,NO_TAKER,2.755162302889564101.7042388640315,9
Monday,19,NO_TAKER,2.754801758290859101.70367994742064,3
Monday,20,NO_TAKER,2.7445151360287339101.68470903911668,73
Monday,0,NO_TAKER,2.7552533640750685101.70433278405888,7
Monday,18,NO_TAKER,2.7546143711118094101.70338577963552,1
Monday,22,NO_TAKER,2.7445151360287339101.68470903911668,58
Monday,3,NO_TAKER,2.7445151360287339101.68470903911668,36
Monday,17,NO_TAKER,2.755162302889564101.7042388640315,3
Monday,23,NO_TAKER,2.755162302889564101.7042388640315,14
Monday,1,NO_TAKER,2.7445151360287339101.68470903911668,67
Monday,23,NO_TAKER,2.7445151360287339101.68470903911668,69
Monday,0,NO_TAKER,2.7445151360287339101.68470903911668,84
Monday,0,NO_TAKER,2.745008101.6845226,2
Monday,0,NO_TAKER,2.7456178101.6851054,2
Monday,1,NO_TAKER,2.7552533640750685101.70433278405888,6
Sunday,23,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,20
Sunday,12,CANCELLED_BY_PASSENGER,3.0710166101.6231294,2
Sunday,12,CANCELLED_BY_PASSENGER,3.1609883101.7479759,1
Sunday,0,CANCELLED_BY_PASSENGER,3.1055877101.4670639,1
Sunday,15,CANCELLED_BY_PASSENGER,2.754801758290859101.70367994742064,4
Sunday,14,CANCELLED_BY_PASSENGER,3.0888801101.6186714,1
Sunday,14,CANCELLED_BY_PASSENGER,3.0770524101.6434479,1
Sunday,17,CANCELLED_BY_PASSENGER,2.9251465101.6374883,1
Sunday,17,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,9
Sunday,14,CANCELLED_BY_PASSENGER,3.0310728101.7620178,1
Sunday,0,CANCELLED_BY_PASSENGER,3.083938101.5879017,1
Sunday,7,CANCELLED_BY_PASSENGER,2.755846101.705367,1
Sunday,20,CANCELLED_BY_PASSENGER,2.744834101.684595,1
Sunday,22,CANCELLED_BY_PASSENGER,3.0757898101.5501006,1
